,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
80,0.8006975585450922,0.7473841554559043,0.658196312904833,0.611858495266567,0.7045341305430991,0.5909317389138017,0.674638764324863,0.6392625809666168,0.6063776781265571,0.7249626307922272,0.7638266068759342,0.7419033383158944,0.534130543099153,0.6307922272047832,0.6856003986048829,0.6646736422521176,0.6731439960139511,0.6492277030393623,0.6731439960139511,0.7164922770303936,0.6751370204285002,0.5739910313901345,0.6651718983557549,0.6596910812157449,0.7419033383158944,0.7513702042850025,0.7115097159940209,0.7229696063776782,0.4384653712007972,0.6776283009466866,0.5844544095665172,0.7528649725959143,0.700548081714001,0.6741405082212257,0.5122072745391131,0.6063776781265571,0.4504235176880917,0.7339312406576981,0.7209765819631291,0.6711509715994021,0.6287992027902342,0.6128550074738416,0.7269556552067763,0.7593423019431988,0.6975585450921774,0.7573492775286498,0.6547085201793722,0.6920777279521674,0.6278026905829597,0.489785749875436
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.7927254608868959,0.7498754359740907,0.763328350772297,0.6238166417538615,0.672645739910314,0.7399103139013453,0.6756352765321375,0.7329347284504235,0.700548081714001,0.7010463378176383,0.7179870453413054,0.7478824115595416,0.693074240159442,0.7623318385650224,0.6716492277030394,0.7144992526158446,0.7409068261086198,0.7100149476831091,0.7015445939212755,0.7299451918285998,0.750373692077728,0.656203288490284,0.6636771300448431,0.7663178873941205,0.7752864972595914,0.7877428998505231,0.6856003986048829,0.7334329845540608,0.5979073243647235,0.6970602889885401,0.6163428001993024,0.7962132536123567,0.8031888390632785,0.7349277528649726,0.624813153961136,0.6870951669157948,0.7239661185849526,0.6925759840558047,0.731938216243149,0.6751370204285002,0.6811160936721475,0.6646736422521176,0.7354260089686099,0.7698056801195815,0.7673143996013951,0.7364225211758844,0.6905829596412556,0.7832585949177877,0.6626806178375685,0.547085201793722
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
