,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.6952868103981018,0.6952459216117859,0.6919124722480774,0.6937618851661682,0.6900486946105957,0.6938446760177612,0.6972830891609192,0.6913699507713318,0.6913509368896484,0.6944913268089294,0.6922838687896729,0.6899569630622864,0.6919278502464294,0.6899443864822388,0.6935782432556152,0.6846828460693359,0.6918160915374756,0.6919136047363281,0.6929506063461304,0.6913524866104126,0.6949584484100342,0.6919000744819641,0.6906991600990295,0.6873984336853027,0.6891084313392639,0.6934599280357361,0.6919023990631104,0.6951711177825928,0.6927130818367004,0.6942238807678223,0.4949341714382171,0.6935193538665771,0.6938931941986084,0.6958895325660706,0.6886314153671265,0.694678783416748,0.6924457550048828,0.6919503211975098,0.6945247650146484,0.6954330205917358,0.6885109543800354,0.6923927068710327,0.6988722085952759,0.6947485208511353,0.6913530826568604,0.6960293650627136,0.6907585263252258,0.6996943950653076,0.6895498037338257,0.6929560303688049
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.6965129971504211,0.6959887742996216,0.6923086643218994,0.6938433051109314,0.6899700164794922,0.6936596035957336,0.695832371711731,0.691368818283081,0.6913575530052185,0.695322573184967,0.6934124231338501,0.6899594664573669,0.6919211745262146,0.6899530291557312,0.6934731006622314,0.6846803426742554,0.6919049620628357,0.6919142007827759,0.692974328994751,0.6913599967956543,0.695687472820282,0.69190514087677,0.6907013654708862,0.6852695345878601,0.6890934705734253,0.6940522193908691,0.691939115524292,0.6979173421859741,0.6927130818367004,0.6942799091339111,0.4513369500637054,0.6932885050773621,0.6949702501296997,0.6950034499168396,0.6889131665229797,0.6940685510635376,0.6923748254776001,0.6919862627983093,0.6958445906639099,0.6929563879966736,0.6870869398117065,0.6927474737167358,0.6961448788642883,0.6933403015136719,0.6913515329360962,0.6944245100021362,0.6912853717803955,0.6949434876441956,0.6931092143058777,0.693825900554657
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
