,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
100,0.7858347386172007,0.8322091062394603,0.8296795952782462,0.806070826306914,0.7352445193929174,0.8161888701517707,0.7715008431703204,0.7774030354131535,0.8347386172006745,0.5084317032040472,0.8271500843170321,0.8204047217537943,0.7799325463743676,0.7799325463743676,0.8001686340640809,0.8018549747048904,0.8043844856661045,0.8322091062394603,0.7630691399662732,0.8010118043844857,0.7782462057335582,0.7984822934232715,0.5084317032040472,0.7993254637436762,0.8220910623946037,0.811973018549747,0.7976391231028668,0.7959527824620574,0.7984822934232715,0.7748735244519392,0.7959527824620574,0.815345699831366,0.7495784148397976,0.7799325463743676,0.7967959527824621,0.7453625632377741,0.8052276559865092,0.811973018549747,0.7917369308600337,0.8102866779089376,0.7993254637436762,0.8161888701517707,0.8406408094435076,0.7664418212478921,0.7841483979763912,0.7917369308600337,0.7993254637436762,0.7959527824620574,0.7900505902192243,0.5084317032040472
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.8313659359190556,0.8566610455311973,0.8490725126475548,0.8313659359190556,0.7790893760539629,0.8313659359190556,0.8077571669477235,0.8128161888701517,0.8271500843170321,0.5084317032040472,0.8347386172006745,0.8145025295109612,0.7967959527824621,0.806070826306914,0.8355817875210793,0.8077571669477235,0.8178752107925801,0.8389544688026982,0.8010118043844857,0.8043844856661045,0.7976391231028668,0.842327150084317,0.5084317032040472,0.8145025295109612,0.8220910623946037,0.8052276559865092,0.8102866779089376,0.8263069139966274,0.821247892074199,0.7883642495784149,0.8145025295109612,0.8271500843170321,0.7967959527824621,0.8313659359190556,0.8431703204047217,0.8170320404721754,0.8102866779089376,0.811973018549747,0.8018549747048904,0.8254637436762225,0.8170320404721754,0.8431703204047217,0.8204047217537943,0.8052276559865092,0.8018549747048904,0.7740303541315345,0.8128161888701517,0.8035413153456998,0.8069139966273187,0.5084317032040472
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
