,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
40,0.6887866854667664,0.6942462921142578,0.6919021010398865,0.6931900978088379,0.6937724351882935,0.6931686997413635,0.6929561495780945,0.6946849226951599,0.6946631073951721,0.6930983662605286,0.693393886089325,0.6899457573890686,0.6949621438980103,0.6899639368057251,0.6931144595146179,0.6957638263702393,0.6937207579612732,0.6919536590576172,0.6926972270011902,0.6941013932228088,0.6927016377449036,0.6920544505119324,0.6909312605857849,0.6947702169418335,0.6891012787818909,0.6935569047927856,0.6919010281562805,0.6933236122131348,0.6927065253257751,0.6936279535293579,0.6935231685638428,0.6940187215805054,0.6927840709686279,0.6929473876953125,0.6927776336669922,0.6931480169296265,0.692701518535614,0.6936452984809875,0.6937748193740845,0.692354142665863,0.6960940361022949,0.6944912672042847,0.6938167810440063,0.6899541616439819,0.6913701891899109,0.6931473612785339,0.6881570219993591,0.6923779845237732,0.6943092942237854,0.6964943408966064
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.6884588599205017,0.695284903049469,0.6919026970863342,0.6931394934654236,0.6938982605934143,0.6931648850440979,0.6933722496032715,0.6944725513458252,0.6943560242652893,0.6931617856025696,0.6941335797309875,0.6899463534355164,0.693627119064331,0.6899504661560059,0.6931034922599792,0.694247305393219,0.6930661797523499,0.6918972134590149,0.6927328705787659,0.6943362355232239,0.6926984190940857,0.6919018030166626,0.6927453875541687,0.6947550773620605,0.6892690062522888,0.6931446194648743,0.6918988227844238,0.6932196021080017,0.6927065253257751,0.69333815574646,0.6940873861312866,0.691276490688324,0.6926989555358887,0.6929494738578796,0.6953602433204651,0.6931893825531006,0.6924266815185547,0.6937376260757446,0.6933753490447998,0.6927977800369263,0.694926381111145,0.6942535638809204,0.6935368180274963,0.6899536848068237,0.6913487315177917,0.6931732892990112,0.688454806804657,0.6923525333404541,0.6942424774169922,0.6952734589576721
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.6880416870117188,0.6933323740959167,0.6919006109237671,0.6931034326553345,0.6943991780281067,0.6931478977203369,0.6931098699569702,0.6938127875328064,0.694541871547699,0.6931730508804321,0.6941866278648376,0.690194308757782,0.6934531927108765,0.6899509429931641,0.6931027770042419,0.6907487511634827,0.6921233534812927,0.6919004917144775,0.6926971673965454,0.693581759929657,0.6927006244659424,0.69249427318573,0.6918476819992065,0.6957847476005554,0.6930672526359558,0.6931746602058411,0.6918999552726746,0.6932857632637024,0.6926988959312439,0.6930974721908569,0.6930457949638367,0.6906951665878296,0.6926987171173096,0.6929476261138916,0.693088173866272,0.6934822201728821,0.6928165555000305,0.6937626004219055,0.6933553218841553,0.6923893690109253,0.694191038608551,0.6935386657714844,0.693413496017456,0.6899765133857727,0.6913542151451111,0.6931812763214111,0.6885690093040466,0.6923490166664124,0.693594753742218,0.6950574517250061
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.6872161030769348,0.6935511827468872,0.6918990612030029,0.6931089758872986,0.6946758031845093,0.693156898021698,0.6931410431861877,0.6944690942764282,0.6950858235359192,0.6936689615249634,0.6945378184318542,0.6906022429466248,0.6959549784660339,0.6899542212486267,0.6931770443916321,0.6908043026924133,0.6907000541687012,0.6919225454330444,0.6927067637443542,0.6939858198165894,0.6928005814552307,0.6921037435531616,0.6907650828361511,0.6935037970542908,0.6918705105781555,0.6932291388511658,0.691922664642334,0.6934802532196045,0.6927781105041504,0.6931138038635254,0.6929477453231812,0.6906978487968445,0.6928056478500366,0.6929553747177124,0.6914759278297424,0.6932916045188904,0.6924180388450623,0.6941515207290649,0.6936718225479126,0.6923511624336243,0.6922675371170044,0.6934809684753418,0.6935160756111145,0.6899509429931641,0.6924048662185669,0.6931662559509277,0.6881389617919922,0.6923481225967407,0.6931976079940796,0.6974310278892517
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.6915054321289062,0.6938861608505249,0.6919018030166626,0.6931524872779846,0.6947013735771179,0.6931481957435608,0.6929475665092468,0.6944446563720703,0.6945745944976807,0.6935012340545654,0.6948338150978088,0.6900114417076111,0.6963244080543518,0.6899548172950745,0.6930972337722778,0.6910530924797058,0.6907012462615967,0.691932737827301,0.692699134349823,0.6933335065841675,0.693423867225647,0.692283034324646,0.6908206939697266,0.693472683429718,0.6909976005554199,0.6929629445075989,0.6919002532958984,0.6933521032333374,0.6928709149360657,0.6930989027023315,0.6929479837417603,0.6907029747962952,0.6927087903022766,0.6931695342063904,0.6904428601264954,0.6932318806648254,0.6923631429672241,0.69354647397995,0.6938029527664185,0.6923683881759644,0.6909652948379517,0.6944844126701355,0.6936497688293457,0.6899806261062622,0.6914427280426025,0.6931473612785339,0.6892040967941284,0.6923629641532898,0.6926618814468384,0.6960890293121338
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
