Iteration,Accuracy,Weight Decay
0,0.5216741405082213,0.09250011359918392
1,0.4872944693572496,0.0875001893319732
2,0.658196312904833,0.08250026506476248
3,0.7234678624813154,0.07750034079755176
4,0.6786248131539612,0.07250041653034103
5,0.7548579970104634,0.06750049226313032
6,0.737419033383159,0.06250056799591959
7,0.8051818634778276,0.057500643728708875
8,0.7717987045341306,0.05250071946149815
9,0.815146985550573,0.047500795194287425
10,0.802192326856004,0.04250087092707671
11,0.8266068759342302,0.03750094665986599
12,0.8236173393124065,0.03250102239265526
13,0.8460388639760837,0.027501098125444545
14,0.866965620328849,0.022501173858233817
15,0.8784255107125062,0.017501249591023102
16,0.8759342301943199,0.012501325323812373
17,0.8893871449925261,0.007501401056601645
18,0.890881913303438,0.00250147678939093
19,0.8709516691579472,-0.0024984474778197846
