,1
0,0.48
1,0.49057471264367813
2,0.49195402298850577
3,0.48
4,0.48
5,0.48
6,0.48
7,0.48
8,0.48
9,0.48
10,0.48
11,0.48
12,0.48
13,0.48
14,0.48
15,0.48
16,0.48
17,0.48
18,0.48
19,0.48
20,0.48
21,0.48
22,0.48
23,0.48
24,0.48
25,0.48
26,0.48
27,0.48
28,0.48
29,0.48
30,0.52
31,0.52
32,0.52
33,0.52
34,0.52
35,0.52
36,0.52
37,0.52
38,0.52
39,0.52
40,0.52
41,0.52
42,0.52
43,0.52
44,0.52
45,0.52
46,0.52
47,0.52
48,0.52
49,0.52
50,0.52
51,0.52
52,0.52
53,0.52
54,0.52
55,0.52
56,0.52
57,0.52
58,0.52
59,0.52
60,0.52
61,0.52
62,0.52
63,0.52
64,0.52
65,0.52
66,0.52
67,0.52
68,0.52
69,0.52
70,0.52
71,0.52
72,0.52
73,0.52
74,0.52
75,0.52
76,0.52
77,0.52
78,0.52
79,0.52
80,0.52
81,0.52
82,0.52
83,0.52
84,0.52
85,0.52
86,0.52
87,0.52
88,0.52
89,0.52
90,0.52
91,0.52
92,0.52
93,0.52
94,0.52
95,0.52
96,0.52
97,0.52
98,0.52
99,0.52
100,0.52
101,0.52
102,0.52
103,0.52
104,0.52
105,0.52
106,0.52
107,0.52
108,0.52
109,0.52
110,0.52
111,0.52
112,0.52
113,0.52
114,0.52
115,0.52
116,0.52
117,0.52
118,0.52
119,0.52
120,0.52
121,0.52
122,0.52
123,0.52
124,0.52
125,0.52
126,0.52
127,0.52
128,0.52
129,0.52
130,0.52
131,0.52
132,0.52
133,0.52
134,0.52
135,0.52
136,0.52
137,0.52
138,0.52
139,0.52
140,0.52
141,0.52
142,0.52
143,0.52
144,0.52
145,0.52
146,0.52
147,0.52
148,0.52
149,0.52
150,0.52
151,0.52
152,0.52
153,0.52
154,0.52
155,0.52
156,0.52
157,0.52
158,0.52
159,0.52
160,0.52
161,0.52
162,0.52
163,0.52
164,0.52
165,0.52
166,0.52
167,0.52
168,0.52
169,0.52
170,0.52
171,0.52
172,0.52
173,0.52
174,0.52
175,0.52
176,0.52
177,0.52
178,0.52
179,0.52
180,0.52
181,0.52
182,0.52
183,0.52
184,0.52
185,0.52
186,0.52
187,0.52
188,0.52
189,0.52
190,0.52
191,0.52
192,0.52
193,0.52
194,0.52
195,0.52
196,0.52
197,0.52
198,0.52
199,0.52
200,0.52
201,0.52
202,0.52
203,0.52
204,0.52
205,0.52
206,0.52
207,0.52
208,0.52
209,0.52
210,0.52
211,0.52
212,0.52
213,0.52
214,0.52
215,0.52
216,0.52
217,0.52
218,0.52
219,0.52
220,0.52
221,0.52
222,0.52
223,0.52
224,0.52
225,0.52
226,0.52
227,0.52
228,0.52
229,0.52
230,0.52
231,0.52
232,0.52
233,0.52
234,0.52
235,0.52
236,0.52
237,0.52
238,0.52
239,0.52
240,0.52
241,0.52
242,0.52
243,0.52
244,0.52
245,0.52
246,0.52
247,0.52
248,0.52
249,0.52
250,0.52
251,0.52
252,0.52
253,0.52
254,0.52
255,0.52
256,0.52
257,0.52
258,0.52
259,0.52
260,0.52
261,0.52
262,0.52
263,0.52
264,0.52
265,0.52
266,0.52
267,0.52
268,0.52
269,0.52
270,0.52
271,0.52
272,0.52
273,0.52
274,0.52
275,0.52
276,0.52
277,0.52
278,0.52
279,0.52
280,0.52
281,0.52
282,0.52
283,0.52
284,0.52
285,0.52
286,0.52
287,0.52
288,0.52
289,0.52
290,0.52
291,0.52
292,0.52
293,0.52
294,0.52
295,0.52
296,0.52
297,0.52
298,0.52
299,0.52
300,0.52
301,0.52
302,0.8041379310344827
303,0.8022988505747126
304,0.8073563218390805
305,0.8114942528735632
306,0.7852873563218391
307,0.8160919540229885
308,0.8193103448275862
309,0.8372413793103448
310,0.7687356321839081
311,0.8087356321839081
312,0.8395402298850575
313,0.8133333333333334
314,0.7958620689655173
315,0.7986206896551724
316,0.76
317,0.8349425287356322
318,0.8193103448275862
319,0.8137931034482758
320,0.8082758620689655
321,0.8013793103448276
322,0.8294252873563218
323,0.7770114942528735
324,0.8101149425287356
325,0.825287356321839
326,0.8188505747126437
327,0.7839080459770115
328,0.8137931034482758
329,0.7728735632183908
330,0.8225287356321839
331,0.8151724137931035
332,0.7986206896551724
333,0.799080459770115
334,0.7967816091954023
335,0.825287356321839
336,0.7940229885057472
337,0.8372413793103448
338,0.8087356321839081
339,0.7448275862068966
340,0.8202298850574713
341,0.8133333333333334
342,0.8211494252873563
343,0.8491954022988506
344,0.832183908045977
345,0.8450574712643678
346,0.8202298850574713
347,0.8285057471264368
348,0.8611494252873563
349,0.8445977011494253
350,0.8459770114942529
351,0.856551724137931
352,0.8496551724137931
353,0.8390804597701149
354,0.8675862068965517
355,0.871264367816092
356,0.8537931034482759
357,0.8537931034482759
358,0.8620689655172413
359,0.8510344827586207
360,0.8602298850574712
361,0.8579310344827586
362,0.8124137931034483
363,0.8257471264367816
364,0.8648275862068966
365,0.8671264367816092
366,0.8381609195402299
367,0.8689655172413793
368,0.8616091954022989
369,0.8156321839080459
370,0.8524137931034482
371,0.8537931034482759
372,0.8271264367816092
373,0.8703448275862069
374,0.8464367816091954
375,0.8496551724137931
376,0.8731034482758621
377,0.8758620689655172
378,0.8662068965517241
379,0.8767816091954023
380,0.8767816091954023
381,0.8836781609195402
382,0.8832183908045977
383,0.8662068965517241
384,0.872183908045977
385,0.8754022988505747
386,0.8657471264367816
387,0.8758620689655172
388,0.8317241379310345
389,0.8758620689655172
390,0.8731034482758621
391,0.8680459770114942
392,0.8574712643678161
393,0.8772413793103448
394,0.863448275862069
395,0.8680459770114942
396,0.871264367816092
397,0.8528735632183908
398,0.8822988505747127
399,0.8611494252873563
400,0.8781609195402299
