subset_size,loss_based_best_weight_decay,accuracy_based_best_weight_decay,best_accuracy,best_loss
20,0.00010476157527896651,0.010974987654930568,0.6615,0.2201663950624643
40,1e-06,1e-06,0.73125,0.0959852105260361
60,0.0001484968262254465,3.1992671377973847e-06,0.7715,0.05546489088307135
80,0.0006734150657750821,0.0006734150657750821,0.804,0.037697424047626556
100,0.002420128264794381,0.002420128264794381,0.84,0.024381357853394
120,0.003430469286314919,0.003430469286314919,0.8629166666666667,0.01819166339095682
140,0.0030538555088334154,0.0030538555088334154,0.8714285714285713,0.01478953020780214
160,0.006135907273413169,0.0017073526474706904,0.87875,0.012468675991985947
180,0.0017073526474706904,0.0010722672220103231,0.8844444444444445,0.010349438698134488
200,0.006892612104349695,0.0019179102616724887,0.8912,0.009147851261496545
