,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.6997344493865967,0.6930511593818665,0.6931024789810181,0.6930999159812927,0.6939463019371033,0.6821771264076233,0.6936541795730591,0.6913463473320007,0.6913511157035828,0.6931934356689453,0.691902756690979,0.6060743927955627,0.6919095516204834,0.6899468898773193,0.6936265826225281,0.6938844323158264,0.6942490935325623,0.6637747883796692,0.6936318278312683,0.6915726661682129,0.694191575050354,0.6918976306915283,0.6917265057563782,0.6903062462806702,0.6937950253486633,0.6929519176483154,0.6929725408554077,0.6931558847427368,0.6928544640541077,0.6931143999099731,0.6929500699043274,0.6906959414482117,0.693723201751709,0.6933932304382324,0.6881524920463562,0.6932168006896973,0.6930297017097473,0.6918984055519104,0.6937520503997803,0.6923491954803467,0.6962937712669373,0.6923479437828064,0.6944206953048706,0.6900873780250549,0.6928338408470154,0.6932571530342102,0.6899715662002563,0.6923566460609436,0.693371593952179,0.6870886087417603
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.6967723369598389,0.6939636468887329,0.6937236189842224,0.6931024789810181,0.6926915049552917,0.6933495402336121,0.6937693953514099,0.6937046051025391,0.6914005875587463,0.6934248208999634,0.6919048428535461,0.6814967393875122,0.6919100284576416,0.6927902102470398,0.6933111548423767,0.6939898133277893,0.6935787796974182,0.692000150680542,0.693733274936676,0.6928337812423706,0.6950833201408386,0.6919009685516357,0.6931525468826294,0.6805484294891357,0.6961063146591187,0.6929520964622498,0.6921069622039795,0.6931543946266174,0.6937940716743469,0.693101704120636,0.6929822564125061,0.6918498277664185,0.693401038646698,0.693427562713623,0.68876051902771,0.693662166595459,0.6930621266365051,0.6927452683448792,0.6934515237808228,0.6923545002937317,0.6956053972244263,0.6940118670463562,0.6939401030540466,0.6899436712265015,0.6940782070159912,0.6932071447372437,0.6927255392074585,0.6923515200614929,0.694824755191803,0.6870866417884827
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
