weight_decay,mean_accuracy,std_accuracy,avg_loss
1e-09,0.515,0.17435595774162696,0.08497285395860672
1.2045035402587836e-09,0.5725,0.20629166245876251,0.08048120863735676
1.4508287784959373e-09,0.5625,0.1772180859844728,0.08385690800845623
1.747528400007683e-09,0.5725,0.17693572279220496,0.08243708439171314
2.104904144512022e-09,0.555,0.18398369492974098,0.08484506875276565
2.535364493970117e-09,0.5575,0.17890290662814845,0.08138895871117711
3.0538555088334124e-09,0.5175,0.1561449646962719,0.08531018517911435
3.6783797718286344e-09,0.5475,0.1902136956162726,0.08379708167165517
4.4306214575838865e-09,0.5525,0.1697240407249368,0.0847545738518238
5.336699231206302e-09,0.545,0.176351920885484,0.08274727180600167
6.428073117284319e-09,0.6025,0.1652460286966074,0.07859160829335451
7.742636826811278e-09,0.59,0.1562049935181331,0.07982402781955898
9.32603346883218e-09,0.5575,0.19073869560212475,0.08428309462964535
1.1233240329780265e-08,0.5075,0.1684673558883145,0.08596996955573559
1.3530477745798075e-08,0.5225,0.17082520305856508,0.0832015336677432
1.6297508346206433e-08,0.55,0.1457737973711325,0.0840753360837698
1.9630406500402724e-08,0.535,0.21071307505705478,0.08356049500405788
2.3644894126454072e-08,0.5375,0.18413649828320294,0.08357294794172049
2.848035868435805e-08,0.555,0.15033296378372907,0.08333245478570461
3.4304692863149195e-08,0.6075,0.16203780423098801,0.08203167200088501
4.132012400115334e-08,0.57,0.20940391591371924,0.08298322685062885
4.977023564332114e-08,0.54,0.1509138827278657,0.0852733964473009
5.99484250318941e-08,0.49,0.14756354563373703,0.08709640756249427
7.220809018385471e-08,0.6025,0.1831836510172237,0.08151341684162616
8.697490026177834e-08,0.55,0.18371173070873834,0.08392034418880939
1.0476157527896662e-07,0.58,0.18159019797334877,0.08231703761965037
1.261856883066021e-07,0.5025,0.155100773692461,0.0865696169435978
1.519911082952933e-07,0.575,0.18874586088176873,0.08405247185379267
1.8307382802953697e-07,0.5325,0.21037169486411428,0.08615249685943127
2.2051307399030456e-07,0.5,0.16770509831248423,0.08668744832277298
2.656087782946684e-07,0.5075,0.17573061770789974,0.08470806397497654
3.199267137797384e-07,0.4925,0.15290928683373028,0.08721286490559578
3.853528593710535e-07,0.5325,0.19171919570037843,0.08295947978273034
4.641588833612782e-07,0.555,0.20024984394500786,0.0843884091079235
5.590810182512223e-07,0.5975,0.14851346740279145,0.08210955027490854
6.734150657750828e-07,0.505,0.17846568297574747,0.0863786818087101
8.111308307896872e-07,0.5975,0.16824461358391238,0.08133223108947277
9.770099572992247e-07,0.5975,0.17551709318468103,0.08027325853705407
1.1768119524349991e-06,0.5475,0.17119068315769992,0.08377435505390167
1.4174741629268076e-06,0.5975,0.14851346740279148,0.08296688854694366
1.7073526474706922e-06,0.545,0.20118399538730708,0.08467796310782433
2.0565123083486514e-06,0.5,0.18027756377319948,0.08587321117520333
2.477076355991714e-06,0.5625,0.1605654072333141,0.08310214877128601
2.9836472402833405e-06,0.5625,0.18915932438026944,0.08256339740008116
3.5938136638046257e-06,0.5225,0.1831836510172237,0.08444452583789826
4.328761281083061e-06,0.515,0.15132745950421556,0.08526391424238682
5.214008287999695e-06,0.5375,0.15461646096066228,0.08556609034538269
6.280291441834259e-06,0.56,0.17182840277439584,0.08439872764050961
7.564633275546291e-06,0.5725,0.1697240407249368,0.08447647258639336
9.111627561154906e-06,0.5475,0.22345301519558872,0.08336335111409426
1.0974987654930568e-05,0.53,0.16309506430300091,0.08716874361038209
1.3219411484660314e-05,0.525,0.15,0.08677377372980118
1.5922827933410938e-05,0.5625,0.17365554986812257,0.08239150617271662
1.917910261672489e-05,0.565,0.1504991694329241,0.08385701924562454
2.3101297000831627e-05,0.5425,0.1725,0.08368193320930004
2.782559402207126e-05,0.5625,0.19080421903092185,0.08223883882164955
3.351602650938848e-05,0.525,0.16393596310755001,0.0852407557144761
4.037017258596558e-05,0.5825,0.17430218013553359,0.07980475895106792
4.8626015800653536e-05,0.56,0.17182840277439582,0.0818058274127543
5.8570208180566735e-05,0.5375,0.17184658856084398,0.08436077803373337
7.054802310718646e-05,0.5425,0.1491852874783569,0.08297366715967655
8.497534359086456e-05,0.585,0.1445683229480096,0.08279427947476506
0.00010235310218990269,0.545,0.15362291495737215,0.08263474263250828
0.00012328467394420685,0.52,0.17916472867168917,0.08503578819334506
0.00014849682622544664,0.5725,0.1733673844758581,0.08505803905427456
0.0001788649529057435,0.51,0.18,0.08402133047580719
0.00021544346900318867,0.5175,0.1952722458517851,0.08482646968215704
0.00025950242113997375,0.5225,0.2056848317207664,0.08382244989275932
0.0003125715849688242,0.495,0.15803480629279107,0.08719495065510273
0.00037649358067924713,0.555,0.1986831648630553,0.07905517596751452
0.00045348785081285916,0.525,0.20463381929681126,0.08331987623125314
0.0005462277217684348,0.5675,0.17177383386301884,0.08371341168880463
0.0006579332246575682,0.5425,0.19139292045423206,0.08589706227183341
0.0007924828983539186,0.55,0.17853571071357124,0.0805256655625999
0.0009545484566618347,0.4875,0.15662455107677084,0.0866367318481207
