,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
140,0.395799309015274,0.3352490961551666,0.3410222828388214,0.3474625647068023,0.3124232590198517,0.4412922859191894,0.4440871775150299,0.3379122912883758,0.4603372812271118,0.3601634502410888,0.4158302545547485,0.4309595823287964,0.7085157036781311,0.7282956838607788,0.4766133427619934,0.4208268225193023,0.4014950692653656,0.408524602651596,0.5623537302017212,0.4336017966270447,0.3659822046756744,0.3981030285358429,0.4030839502811432,0.3305578231811523,0.4715328216552734,0.5003250241279602,0.349102109670639,0.3881672918796539,0.4216184020042419,0.3729599714279175,0.5047789812088013,0.6483867764472961,0.3327459990978241,0.4418029189109802,0.3780511021614074,0.4973008930683136,0.335529088973999,0.4246399402618408,0.4250260293483734,0.4841317236423492,0.3959170281887054,0.4866217374801636,0.5866953730583191,0.454829603433609,0.6202052235603333,0.46122807264328,0.6643383502960205,0.3707612156867981,0.4012264013290405,0.3223864138126373
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.3825161457061767,0.6773870587348938,0.3667622208595276,0.3838415741920471,0.2951682507991791,0.3407740294933319,0.4188310205936432,0.3393272161483764,0.747824490070343,0.3625345826148987,0.3810822665691376,0.4095899760723114,0.3749768435955047,0.6376775503158569,0.4858534038066864,0.3871228992938995,0.5885388255119324,0.420750081539154,0.4159424304962158,0.5909156799316406,0.3834809958934784,0.5357466340065002,0.42674320936203,0.3629209697246551,0.3804911375045776,0.5342531204223633,0.3534048497676849,0.4599201083183288,0.4385422766208648,0.4888520836830139,0.4350124299526214,0.4355416595935821,0.4167007803916931,0.4161807596683502,0.3350407779216766,0.4321663677692413,0.33240407705307,0.7773982286453247,0.465417742729187,0.4677310287952423,0.5891625285148621,0.5517555475234985,0.6545647978782654,0.4592998027801513,0.458015888929367,0.6481470465660095,0.4997830092906952,0.3585677444934845,0.3000032603740692,0.331515371799469
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
