,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.8519885540008545,0.795912504196167,0.7139086127281189,0.8815743327140808,0.9562444686889648,0.8435434699058533,0.8043744564056396,1.0243475437164309,1.0732592344284058,1.195246934890747,0.8887588977813721,1.2011995315551758,0.9272667169570924,0.729788064956665,1.1141782999038696,0.9752445816993712,0.7805096507072449,1.045029878616333,0.9728322625160216,0.9663008451461792,0.9255357980728148,0.8087632060050964,0.8537867665290833,0.590251624584198,0.9906038641929626,0.9512435793876648,0.8414164185523987,0.8850405812263489,0.6684420108795166,1.268156886100769,0.8818384408950806,0.8922238945960999,0.8909715414047241,0.8317518830299377,0.8788611888885498,0.8563787937164307,0.8257176280021667,0.8371214866638184,0.7981924414634705,0.8638166785240173,0.87745600938797,1.1430814266204834,1.4255598783493042,0.795057475566864,0.8356829881668091,0.9504912495613098,0.9689566493034364,0.84037184715271,0.8803536891937256,1.1847368478775024
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.9300636053085328,0.8601901531219482,0.7328701019287109,0.7992491126060486,0.9131248593330384,0.7849553227424622,0.700178861618042,1.0523130893707275,0.9958935379981996,0.7718740701675415,0.8228723406791687,1.276092767715454,0.7943066358566284,0.7318227887153625,0.8092739582061768,1.057492971420288,0.8597650527954102,1.0902235507965088,0.7969717979431152,0.7268362641334534,1.204470157623291,0.8711521625518799,0.9453785419464112,0.6798462867736816,0.8188217878341675,1.0384293794631958,0.7635545134544373,0.7151785492897034,0.6859710216522217,0.9993503093719482,0.9079440236091614,0.9115338325500488,0.988666534423828,0.8857313990592957,0.9200422167778016,0.7842647433280945,0.8341879844665527,0.8819756507873535,0.7589010000228882,0.8770233988761902,0.9400625228881836,1.09501051902771,1.9235386848449707,0.8194179534912109,0.6464704275131226,0.8513242602348328,0.7702887058258057,1.045145034790039,0.8930227160453796,1.3514431715011597
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.7217032313346863,0.7432332038879395,0.7384196519851685,0.8212469220161438,0.9242105484008788,0.7027385830879211,0.8205304741859436,0.7025623917579651,1.4327958822250366,0.7952219247817993,0.7898824214935303,1.0073456764221191,0.9679471850395204,0.8033251166343689,0.8857515454292297,0.7794121503829956,0.8900361657142639,0.8418689370155334,0.8901735544204712,0.740636944770813,0.9276808500289916,0.9298636317253112,0.8844093680381775,0.6692274808883667,0.8233673572540283,1.221685528755188,0.8137658834457397,0.694465696811676,0.7348318099975586,1.0551679134368896,0.8686806559562683,0.8714383840560913,0.9425649642944336,0.9199995994567872,0.9108959436416626,0.8144871592521667,0.8864455819129944,0.7737414240837097,0.7953600883483887,0.6774136424064636,0.9404521584510804,1.1127028465270996,0.9422520399093628,0.7541607618331909,0.7435272336006165,0.8109496235847473,0.7728040814399719,0.7781097292900085,0.7020760774612427,0.8669659495353699
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
