Iteration,Accuracy,Weight Decay
0,0.5724962630792227,0.0004500850090922757
1,0.3044344793223717,0.000103256558905205
2,0.2750373692077728,0.001227179598926791
3,0.5814648729446936,0.0007942137781164274
4,0.5166915794718485,8.958090811721724e-05
5,0.5824613851519681,0.00016651608095646106
6,0.6163428001993024,0.0004797550956158741
7,0.6362730443447933,3.635175625408961e-05
8,0.6372695565520677,3.8874680433699125e-05
9,0.6392625809666168,5.111433604651148e-05
10,0.5974090682610862,0.006498914834631879
11,0.6113602391629297,0.0005040384754713261
12,0.6427503736920778,2.1066890199319042e-05
13,0.6576980568011959,0.006886687954305867
14,0.7040358744394619,0.006541530802186702
15,0.7254608868958645,6.433552453289693e-05
16,0.7224713502740409,0.00029289003015281744
17,0.7224713502740409,2.6418003855876732e-05
18,0.7349277528649726,0.00016489973046325264
19,0.7683109118086696,0.0003811404045129406
