,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,0.6938862800598145,0.6923477053642273,0.6949662566184998,0.6931157112121582,0.6943782567977905,0.6931504011154175,0.6929476261138916,0.6951912045478821,0.6945115923881531,0.693369448184967,0.6919125318527222,0.6983826160430908,0.6928558349609375,0.6937445998191833,0.693098783493042,0.6879403591156006
81,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,
100,0.6917406320571899,0.6923474669456482,0.695427417755127,0.6931015253067017,0.6949961185455322,0.6934887766838074,0.6930522322654724,0.6953468322753906,0.6935350894927979,0.6935265064239502,0.6918997168540955,0.7048382759094238,0.693307638168335,0.6948810815811157,0.6933391690254211,0.6869174242019653
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,
120,0.6946819424629211,0.6930174827575684,0.6934097409248352,0.6931323409080505,0.6941145062446594,0.6934230923652649,0.6937364935874939,0.6941323280334473,0.6949505805969238,0.6937146782875061,0.6928874850273132,0.6988608837127686,0.6941757798194885,0.6950452923774719,0.6934218406677246,0.6867316365242004
121,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,
140,0.6961885094642639,0.693204402923584,0.6935757398605347,0.6931124925613403,0.6937828063964844,0.693907618522644,0.6934557557106018,0.6936529278755188,0.6971777081489563,0.6945623159408569,0.692066490650177,0.6953828930854797,0.6941681504249573,0.6952253580093384,0.6931971907615662,0.6859033107757568
141,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,
160,0.6947718858718872,0.6934955716133118,0.6936330199241638,0.6931201815605164,0.6941074132919312,0.6947266459465027,0.6933953166007996,0.6930422782897949,0.6956861019134521,0.6942225694656372,0.6926233768463135,0.6930229663848877,0.6934661865234375,0.694507360458374,0.6931067705154419,0.6848986148834229
161,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,
180,0.6952587962150574,0.6926953792572021,0.6942492127418518,0.6930973529815674,0.6912742853164673,0.694474458694458,0.6936060190200806,0.6927797198295593,0.6959689855575562,0.6949915885925293,0.6937436461448669,0.6932460069656372,0.6937384605407715,0.6937518119812012,0.693164587020874,0.6847412586212158
181,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,
200,0.6947699189186096,0.6930243968963623,0.6938261389732361,0.6931521892547607,0.6899617910385132,0.6955414414405823,0.6934217810630798,0.6915349364280701,0.695741593837738,0.694068968296051,0.6950325965881348,0.6927544474601746,0.6919681429862976,0.6943063139915466,0.6931406259536743,0.6588441729545593
201,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,
220,0.6951472759246826,0.693678617477417,0.6935308575630188,0.693190336227417,0.6027771234512329,0.6958999633789062,0.6929484009742737,0.6917120218276978,0.6951146125793457,0.6951233744621277,0.6959784030914307,0.692802906036377,0.6919933557510376,0.6936913132667542,0.693219780921936,0.5675638318061829
221,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,
240,0.699775755405426,0.6961985230445862,0.6923542618751526,0.694649338722229,0.5500209331512451,0.694922685623169,0.6929876804351807,0.6914320588111877,0.6935750842094421,0.6945143342018127,0.6967051029205322,0.6946269869804382,0.692105770111084,0.6946796178817749,0.6931585669517517,0.5797568559646606
241,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,
260,0.7008634209632874,0.6939796209335327,0.6919779777526855,0.694214940071106,0.4898442029953003,0.6956908702850342,0.6930176019668579,0.6925695538520813,0.6938542723655701,0.6526868343353271,0.7530754804611206,0.6957302093505859,0.6920234560966492,0.6941694617271423,0.6931377649307251,0.5695541501045227
261,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,
280,0.6127509474754333,0.6937013864517212,0.6919773817062378,0.4217805564403534,0.4572985470294952,0.5227726697921753,0.6929478645324707,0.6929190754890442,0.6938381791114807,0.5356509685516357,0.6417170166969299,0.6949474215507507,0.6921760439872742,0.6947675943374634,0.6930994391441345,0.5491021871566772
281,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,
300,0.6577099561691284,0.6936857104301453,0.6919137835502625,0.4462465047836303,0.4548566341400146,0.5543574094772339,0.6931365728378296,0.6923825740814209,0.6932364106178284,0.512694776058197,0.6407626271247864,0.6963188648223877,0.6919312477111816,0.6950947046279907,0.6930980682373047,0.5420691967010498
301,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,
320,0.587770402431488,0.6943384408950806,0.691924512386322,0.4269192218780517,0.4613330066204071,0.4842342436313629,0.6929560899734497,0.6924857497215271,0.6925173401832581,0.5572875142097473,0.683342456817627,0.6979803442955017,0.692039430141449,0.6945108771324158,0.6931191086769104,0.4698500335216522
321,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,
