,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.4922770303936223,0.4753363228699551,0.5206776283009467,0.5366218236173393,0.4892874937717987,0.4957648231190832,0.458395615346288,0.4100647732934728,0.4808171400099651,0.5022421524663677,0.4578973592426507,0.5450921773791729,0.4818136522172396,0.5505729945191828,0.4823119083208769,0.5764823119083209,0.6213253612356752,0.560039860488291,0.4409566517189835,0.4250124564025909,0.5485799701046338,0.5216741405082213,0.4040857000498256,0.4857997010463378,0.3612356751370204,0.5007473841554559,0.5181863477827603,0.4693572496263079,0.3796711509715994,0.4932735426008968,0.5455904334828101,0.5161933233682112,0.4962630792227205,0.5794718485301444,0.460388639760837,0.5724962630792227,0.5779770802192327,0.4534130543099153,0.4494270054808171,0.4374688589935226,0.4818136522172396,0.6023916292974589,0.4902840059790732,0.5107125062282013,0.6018933731938216,0.4374688589935226,0.497259591429995,0.6178375685102142,0.4957648231190832,0.43248629795715
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.5007473841554559,0.521175884404584,0.5515695067264574,0.6098654708520179,0.4942700548081714,0.5430991529646239,0.5186846038863976,0.4519182859990034,0.5480817140009965,0.4992526158445441,0.4937717987045341,0.5779770802192327,0.471350274040857,0.5505729945191828,0.4887892376681614,0.6263079222720478,0.624813153961136,0.558046836073742,0.5695067264573991,0.4250124564025909,0.5376183358246138,0.6083707025411061,0.4504235176880917,0.6312904833084205,0.5087194818136522,0.5002491280518186,0.5719980069755854,0.4554060787244643,0.4020926756352765,0.4937717987045341,0.5724962630792227,0.5151968111609367,0.5002491280518186,0.57299451918286,0.5251619332336821,0.5440956651718983,0.6332835077229696,0.4240159441953164,0.4683607374190334,0.497259591429995,0.4728450423517688,0.6098654708520179,0.5386148480318884,0.5196811160936722,0.5789735924265073,0.4927752864972596,0.5590433482810164,0.6103637269556552,0.4838066766317887,0.4299950174389636
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.5052316890881914,0.5151968111609367,0.6352765321375187,0.6841056302939711,0.491778774289985,0.5974090682610862,0.5176880916791231,0.4419531639262581,0.5540607872446437,0.5047334329845541,0.56751370204285,0.6477329347284504,0.4753363228699551,0.5490782262082711,0.4862979571499751,0.6223218734429496,0.6243148978574987,0.5954160438465371,0.617339312406577,0.4947683109118087,0.5475834578973593,0.5864474339810662,0.439960139511709,0.680119581464873,0.5625311410064773,0.5042351768809168,0.5680119581464873,0.4638764324862979,0.4135525660189337,0.4982561036372696,0.6178375685102142,0.5151968111609367,0.5605381165919282,0.6397608370702541,0.515695067264574,0.5799701046337817,0.6337817638266069,0.4429496761335326,0.593423019431988,0.5455904334828101,0.4763328350772297,0.5954160438465371,0.5585450921773791,0.5301444942700548,0.5979073243647235,0.491778774289985,0.5575485799701047,0.6258096661684106,0.476831091180867,0.4309915296462381
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
