subset_size,accuracy_based_best_weight_decay,best_accuracy,best_loss
30,1.747528400007683e-09,0.63,0.11874015331578751
60,6.280291441834259e-06,0.6516666666666666,0.060601593392590684
90,1.747528400007683e-09,0.73,0.034125110225545034
120,0.001149756995397738,0.7591666666666668,0.02454046356181304
150,1.519911082952933e-07,0.7886666666666667,0.017993274629116058
180,4.132012400115334e-08,0.8372222222222221,0.012448074689341917
210,0.0001788649529057435,0.8395238095238095,0.009423229020266306
240,3.853528593710535e-07,0.8491666666666667,0.008518376012022296
270,2.104904144512022e-09,0.8662962962962963,0.007254091490198064
300,1.6297508346206433e-08,0.8686666666666666,0.006383411633471649
