weight_decay,mean_accuracy,std_accuracy,avg_loss
1e-09,0.81,0.08656644846590392,0.040302544515579936
1.2045035402587836e-09,0.82375,0.10131170958976064,0.03798188088461757
1.4508287784959373e-09,0.80375,0.08839718604118574,0.03925760013051331
1.747528400007683e-09,0.77375,0.12679338507982188,0.04782062154263258
2.104904144512022e-09,0.79875,0.10846226302267531,0.04217733500525355
2.535364493970117e-09,0.8125,0.09842509842514764,0.03795663524419069
3.0538555088334124e-09,0.79625,0.08643096956531264,0.04055332755669951
3.6783797718286344e-09,0.80125,0.11228451585147436,0.04157641438767314
4.4306214575838865e-09,0.7925,0.09137833441248533,0.04346535615622997
5.336699231206302e-09,0.80125,0.10946603354465712,0.040099141178652646
6.428073117284319e-09,0.79125,0.12094032619436745,0.044187381137162446
7.742636826811278e-09,0.79625,0.10063082281289366,0.039773392248898747
9.32603346883218e-09,0.8225,0.09130991183874838,0.038056643549352884
1.1233240329780265e-08,0.7825,0.11335784048754635,0.04323817951604724
1.3530477745798075e-08,0.78125,0.1180902726730699,0.042788177132606506
1.6297508346206433e-08,0.78,0.10550473923004595,0.045143057722598315
1.9630406500402724e-08,0.80375,0.09763612292589254,0.04038889044895768
2.3644894126454072e-08,0.80125,0.10435067081720174,0.04236501097679138
2.848035868435805e-08,0.81,0.09679230341302969,0.04048216825351119
3.4304692863149195e-08,0.795,0.10755812382149477,0.04352010749280453
4.132012400115334e-08,0.78875,0.11031913931861508,0.045546618420630694
4.977023564332114e-08,0.7725,0.10735455276791946,0.04590545625425875
5.99484250318941e-08,0.76875,0.13419319095989932,0.045051958989351985
7.220809018385471e-08,0.805,0.10943034314119644,0.03919148471206427
8.697490026177834e-08,0.815,0.08474225628339146,0.037571627106517555
1.0476157527896662e-07,0.775,0.1243734296383275,0.04365250360220671
1.261856883066021e-07,0.80375,0.07706531320899176,0.04192670237272978
1.519911082952933e-07,0.8175,0.10668294146675934,0.03833565931767225
1.8307382802953697e-07,0.79125,0.11222883987638828,0.043397491108626125
2.2051307399030456e-07,0.7875,0.1152443057161611,0.04301258435472846
2.656087782946684e-07,0.795,0.10682930309610748,0.04415349574759603
3.199267137797384e-07,0.80375,0.12184134150607502,0.04244313463568687
3.853528593710535e-07,0.7825,0.116081867662439,0.04543788488022983
4.641588833612782e-07,0.79625,0.11026247095000183,0.04313260316848755
5.590810182512223e-07,0.7825,0.08591420138719791,0.043642531968653205
6.734150657750828e-07,0.80625,0.1194060823408925,0.04159165152348578
8.111308307896872e-07,0.77375,0.09991402554196283,0.04640056271106005
9.770099572992247e-07,0.8175,0.08085480814398115,0.04140668466687202
1.1768119524349991e-06,0.81625,0.11068677653631441,0.03985899064689875
1.4174741629268076e-06,0.81375,0.10269037199270435,0.04454765532165766
1.7073526474706922e-06,0.835,0.08268917704270615,0.03812600085511804
2.0565123083486514e-06,0.81125,0.11214527408678442,0.04146585224196315
2.477076355991714e-06,0.79125,0.10125,0.041587295718491075
2.9836472402833405e-06,0.7775,0.11051018052650174,0.04738209988921881
3.5938136638046257e-06,0.77875,0.11054552229737756,0.045160976238548756
4.328761281083061e-06,0.82875,0.10368974153695244,0.03632972321473062
5.214008287999695e-06,0.7975,0.1189537725337032,0.04013087864965201
6.280291441834259e-06,0.8075,0.1171537451385998,0.041307421755045655
7.564633275546291e-06,0.8,0.09682458365518543,0.04301223985850811
9.111627561154906e-06,0.7825,0.11675294428835617,0.04754874359816313
1.0974987654930568e-05,0.83,0.10003124511871278,0.03760653413832188
1.3219411484660314e-05,0.80125,0.11838100565546822,0.04509491512551904
1.5922827933410938e-05,0.825,0.11659223816361018,0.03616605339571834
1.917910261672489e-05,0.77875,0.11264573893405823,0.04716532904654741
2.3101297000831627e-05,0.7875,0.12183492931011206,0.041739228777587414
2.782559402207126e-05,0.80375,0.10000781219484806,0.03943792106583714
3.351602650938848e-05,0.79625,0.07583905656058756,0.042185241617262365
4.037017258596558e-05,0.80625,0.10402073110683274,0.040302954986691474
4.8626015800653536e-05,0.79625,0.0990659502553728,0.04071660742163658
5.8570208180566735e-05,0.81125,0.08969566600455119,0.03772667741402984
7.054802310718646e-05,0.7875,0.13169567191065923,0.04369703086093068
8.497534359086456e-05,0.8125,0.10532687216470447,0.03771529410034418
0.00010235310218990269,0.785,0.11736694594305502,0.042849685698747635
0.00012328467394420685,0.82875,0.1088361727552012,0.04016504149883986
0.00014849682622544664,0.78375,0.1294278273788137,0.0412874873355031
0.0001788649529057435,0.8025,0.11344051304538429,0.03930955829098821
0.00021544346900318867,0.79375,0.1084334473306092,0.044538402389734985
0.00025950242113997375,0.81875,0.11608859763129195,0.04001400172710419
0.0003125715849688242,0.7675,0.11992184955211456,0.04822951933369041
0.00037649358067924713,0.80875,0.09953799525809229,0.039574277214705945
0.00045348785081285916,0.81,0.12371843031658622,0.04075741427019239
0.0005462277217684348,0.79375,0.09206824914160147,0.03858860252425075
0.0006579332246575682,0.77875,0.10622058416333437,0.043287416845560076
0.0007924828983539186,0.84,0.07822243923581008,0.0369820411503315
0.0009545484566618347,0.8075,0.07586995452746759,0.04296380586922169
0.001149756995397738,0.81125,0.11557600313213812,0.040648996680974964
0.0013848863713938745,0.795,0.10310795313650639,0.043361834678798915
0.0016681005372000592,0.805,0.11363318177363511,0.04163441259413957
0.00200923300256505,0.78625,0.10007028779812717,0.04491862999275327
0.0024201282647943836,0.79,0.1285496013218244,0.04207853682339192
0.0029150530628251816,0.80125,0.09494241675879121,0.03992548476904631
0.0035111917342151347,0.8275,0.09565563234854496,0.035661231353878976
0.004229242874389507,0.79625,0.10666096989995918,0.04371064599603414
0.005094138014816386,0.78875,0.10146581936790341,0.04485358014702797
0.006135907273413176,0.7725,0.09250000000000001,0.04701689641922712
0.00739072203352579,0.8175,0.11648497757221744,0.04069474164396524
0.008902150854450393,0.8,0.10077822185373188,0.04113348394632339
0.010722672220103254,0.7875,0.0960143218483576,0.04395882971584797
0.012915496650148853,0.8375,0.10231690964840563,0.03814976720139384
0.015556761439304755,0.7975,0.10647769719523427,0.04346497789025307
0.01873817422860387,0.7475,0.11656543226874767,0.04921307273209095
0.022570197196339216,0.79125,0.10124999999999999,0.04415280554443598
0.027185882427329458,0.80125,0.10053761733798945,0.04588317036628723
0.032745491628777317,0.81625,0.09875,0.04342261865735054
0.03944206059437664,0.75875,0.10155817298474801,0.052018197663128374
