,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.4258609116077423,1.6053571105003357,1.5337240993976593,1.307747304439545,1.5847532749176023,1.2316855788230896,1.5457805395126345,1.2834486067295074,1.4046472012996674,1.5180077850818634,1.6704254746437073,1.740516185760498,1.25848388671875,1.6377622485160828,1.680134654045105,1.447997659444809,1.2990489900112152,1.5335218608379364,1.4252979159355164,1.2970356345176697,1.4246796667575836,1.463993638753891,1.3431455790996552,1.2968046069145205,1.325346738100052,1.5582208931446075,1.3383242785930634,1.4475324153900146,1.65690615773201,1.737294375896454,1.3575903475284576,1.582136154174805,1.450973093509674,1.5427402555942535,1.5856822729110718,1.369084745645523,1.5809085965156555,1.542538046836853,1.5774743854999542,1.562186747789383,1.7739317417144775,1.5060813426971436,1.329068511724472,1.423769623041153,1.470489889383316,1.5388952791690826,1.3720851838588717,1.7074360251426697,1.227580338716507,1.367304444313049
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
