Iteration,Accuracy,Weight Decay
0,0.5261584454409567,0.0007924828983539
1,0.6198305929247633,0.0007924828983539
2,0.6985550572994519,0.0007924828983539
3,0.7409068261086198,0.000594362610647525
4,0.7653213751868461,0.00019812203523477496
5,0.7583457897359243,4.281488081676788e-07
6,0.746885899352267,1.280951367703021e-06
7,0.7797708021923269,8.236912991120834e-06
8,0.750373692077728,2.1296033678421116e-05
9,0.7473841554559043,0.00043789432981655344
10,0.7663178873941205,0.0012580318014055179
11,0.7997010463378177,0.0012511914426208404
12,0.7912306925759841,0.0004173732534625209
13,0.8046836073741903,2.626026052809685e-06
14,0.8246138515196811,6.949760391706498e-06
15,0.8161434977578476,0.002232371434283441
16,0.8266068759342302,0.0066788910477280135
17,0.8659691081215745,0.0068410964470021
18,0.8545092177379173,0.0027189876321057
19,0.8445440956651719,0.0006579332246575
